longitude,latitude,junction_type,num_roads
103.828958,1.456176,t_shape,3
103.826346,1.454415,t_shape,3
103.82575,1.457822,t_shape,3
103.821912,1.45729,t_shape,3
103.827094,1.457243,t_shape,3
103.826573,1.457623,t_shape,3
103.827961,1.455876,t_shape,3
103.828316,1.45574,t_shape,3
103.837234,1.338,o_shape,5
103.839254,1.347905,crossing,4
103.837246,1.334545,t_shape,3
103.840923,1.353938,t_shape,3
103.838077,1.327784,t_shape,3
103.839557,1.329697,t_shape,3
103.839623,1.329921,t_shape,3
103.839227,1.328953,t_shape,3
103.839324,1.327728,t_shape,3
103.839807,1.327909,x_shape,4
103.839883,1.327771,t_shape,3
103.838322,1.327883,t_shape,3
103.846497,1.308946,crossing,4
103.847268,1.308907,t_shape,3
103.843626,1.310907,crossing,4
103.847372,1.312113,o_shape,5
103.862319,1.296971,t_shape,3
103.862701,1.297277,t_shape,3
103.862939,1.297832,t_shape,3
103.860874,1.295826,t_shape,3
103.861025,1.297791,t_shape,3
103.878293,1.415156,t_shape,3
103.87768,1.4157,t_shape,3
103.877286,1.404271,t_shape,3
103.878264,1.416426,t_shape,3
103.888869,1.413478,t_shape,3
103.891482,1.413095,x_shape,4
103.881255,1.415017,t_shape,3
103.884268,1.416656,t_shape,3
103.884626,1.414929,t_shape,3
103.883593,1.414808,t_shape,3
103.876019,1.295834,t_shape,3
103.885411,1.296803,t_shape,3
103.885422,1.295788,o_shape,6
103.885957,1.295539,t_shape,3
103.876669,1.297342,t_shape,3
103.879264,1.295455,t_shape,3
103.877516,1.295148,t_shape,3
103.876536,1.288565,t_shape,3
103.853821,1.272743,t_shape,3
103.860845,1.27094,t_shape,3
103.859384,1.270295,t_shape,3
103.860737,1.271045,t_shape,3
103.869135,1.276983,t_shape,3
103.850381,1.274671,crossing,4
103.85096,1.280809,x_shape,4
103.850319,1.281207,x_shape,4
103.860876,1.274202,t_shape,3
103.854808,1.275073,x_shape,4
103.859177,1.325045,t_shape,3
103.84873,1.328037,t_shape,3
103.849446,1.327508,t_shape,3
103.850909,1.32561,x_shape,4
103.83279,1.325957,t_shape,3
103.833501,1.326273,t_shape,3
103.853844,1.323877,t_shape,3
103.847846,1.326997,t_shape,3
103.848123,1.327288,t_shape,3
103.851983,1.326872,x_shape,4
103.833746,1.326895,t_shape,3
103.858751,1.324576,t_shape,3
103.853168,1.326005,t_shape,3
103.856354,1.326007,t_shape,3
103.854264,1.322878,t_shape,3
103.833581,1.326414,t_shape,3
103.833677,1.326594,t_shape,3
103.854783,1.322778,t_shape,3
103.854751,1.322988,t_shape,3
103.852713,1.322556,t_shape,3
103.852834,1.322585,x_shape,4
103.837992,1.328266,t_shape,3
103.837994,1.328893,t_shape,3
103.844098,1.32898,x_shape,4
103.844088,1.329318,t_shape,3
103.827415,1.327848,t_shape,3
103.827765,1.327666,t_shape,3
103.850536,1.32741,t_shape,3
103.85516,1.324006,t_shape,3
103.855194,1.323977,t_shape,3
103.82736,1.327662,t_shape,3
103.85451,1.323176,crossing,4
103.858064,1.323794,t_shape,3
103.855136,1.326922,t_shape,3
103.854779,1.326512,t_shape,3
103.850222,1.326223,t_shape,3
103.833845,1.326389,t_shape,3
103.683374,1.311463,x_shape,4
103.68474,1.311997,t_shape,3
103.655868,1.314708,x_shape,4
103.655935,1.314647,x_shape,4
103.64349,1.326472,t_shape,3
103.789646,1.298233,t_shape,3
103.808505,1.291969,x_shape,4
103.808756,1.291734,t_shape,3
103.822935,1.304974,t_shape,3
103.822787,1.304909,x_shape,4
103.804128,1.299135,t_shape,3
103.805123,1.298466,t_shape,3
103.8157,1.290012,t_shape,3
103.835762,1.287992,x_shape,4
103.835749,1.288284,t_shape,3
103.834671,1.286322,crossing,4
103.836073,1.288371,x_shape,4
103.836115,1.288075,crossing,4
103.834845,1.285769,t_shape,3
103.834157,1.285813,t_shape,3
103.825174,1.286377,other,3
103.825231,1.286395,x_shape,4
103.835431,1.284008,t_shape,3
103.772386,1.308846,t_shape,3
103.772444,1.309136,t_shape,3
103.77432,1.300655,t_shape,3
103.774156,1.300559,t_shape,3
103.774116,1.300602,t_shape,3
103.780036,1.296818,x_shape,4
103.78032,1.296951,t_shape,3
103.780591,1.297072,t_shape,3
103.782104,1.295568,t_shape,3
103.780899,1.294612,t_shape,3
103.781546,1.294671,t_shape,3
103.781439,1.297179,t_shape,3
103.770806,1.301394,t_shape,3
103.78116,1.297628,t_shape,3
103.773137,1.301035,x_shape,4
103.773144,1.301192,x_shape,4
103.770544,1.295327,t_shape,3
103.770771,1.296212,t_shape,3
103.776187,1.291729,crossing,4
103.776172,1.291949,t_shape,3
103.776117,1.291592,t_shape,3
103.774042,1.292297,t_shape,3
103.774254,1.292212,t_shape,3
103.771648,1.292958,t_shape,3
103.771049,1.293327,t_shape,3
103.772184,1.293409,t_shape,3
103.771483,1.293007,t_shape,3
103.770398,1.295111,crossing,4
103.770564,1.295175,t_shape,3
103.770254,1.30059,t_shape,3
103.778759,1.299687,t_shape,3
103.781908,1.29225,t_shape,3
103.781752,1.292333,t_shape,3
103.782196,1.292095,t_shape,3
103.783127,1.292027,t_shape,3
103.772268,1.296731,t_shape,3
103.794734,1.394011,t_shape,3
103.77701,1.377294,t_shape,3
103.816307,1.30701,t_shape,3
103.81648,1.307353,t_shape,3
103.816817,1.306911,t_shape,3
103.816802,1.30683,t_shape,3
103.81668,1.306894,t_shape,3
103.779494,1.378698,crossing,4
103.779644,1.383227,t_shape,3
103.785259,1.377861,t_shape,3
103.897724,1.340968,t_shape,3
103.89651,1.340565,t_shape,3
103.901484,1.338872,t_shape,3
103.89697,1.340734,t_shape,3
103.903188,1.337481,t_shape,3
103.903347,1.337681,t_shape,3
103.815219,1.308516,t_shape,3
103.815282,1.309654,t_shape,3
103.814978,1.309326,crossing,4
103.815037,1.309493,t_shape,3
103.890445,1.341298,t_shape,3
103.891071,1.340766,t_shape,3
103.892398,1.340256,t_shape,3
103.892225,1.340239,t_shape,3
103.892277,1.340385,t_shape,3
103.8921,1.340235,t_shape,3
103.900455,1.344431,t_shape,3
103.899515,1.341189,t_shape,3
103.899337,1.343355,t_shape,3
103.89954,1.341255,t_shape,3
103.899202,1.344157,x_shape,4
103.898114,1.340424,x_shape,4
103.985746,1.350971,t_shape,3
103.986492,1.351741,t_shape,3
103.981796,1.343907,t_shape,3
103.787663,1.390055,t_shape,3
103.770698,1.320841,t_shape,3
103.770551,1.32117,t_shape,3
103.767782,1.3212,t_shape,3
103.768014,1.320983,x_shape,4
103.78624,1.378393,t_shape,3
103.786238,1.37821,crossing,4
103.78703,1.378074,t_shape,3
103.854542,1.322256,other,3
103.854847,1.321952,t_shape,3
103.85378,1.321016,t_shape,3
103.766847,1.294363,t_shape,3
103.766976,1.294373,x_shape,4
103.76917,1.294108,t_shape,3
103.790417,1.377249,other,3
103.767172,1.295151,t_shape,3
103.768361,1.295346,other,3
103.768037,1.295432,t_shape,3
103.767035,1.296348,x_shape,4
103.767077,1.294381,t_shape,3
103.778841,1.33667,t_shape,3
103.765443,1.297904,t_shape,3
103.765667,1.29801,t_shape,3
103.767265,1.293073,t_shape,3
103.76735,1.29317,x_shape,4
103.763054,1.299128,t_shape,3
103.787569,1.311454,t_shape,3
103.787473,1.311487,other,3
103.787442,1.311742,x_shape,4
103.791039,1.308278,x_shape,4
103.790844,1.307714,t_shape,3
103.787446,1.311849,t_shape,3
103.787629,1.312411,t_shape,3
103.789094,1.311406,x_shape,4
103.788951,1.311376,t_shape,3
103.78761,1.311889,t_shape,3
103.749148,1.459576,t_shape,3
103.749317,1.45935,t_shape,3
103.819904,1.305854,t_shape,3
103.819614,1.30405,t_shape,3
103.819541,1.305671,t_shape,3
103.686282,1.343102,t_shape,3
103.686152,1.343112,t_shape,3
103.699658,1.334749,t_shape,3
103.701914,1.34062,t_shape,3
103.704212,1.341068,t_shape,3
103.703978,1.340802,t_shape,3
103.703915,1.341364,t_shape,3
103.704256,1.341168,t_shape,3
103.70355,1.341039,t_shape,3
103.703821,1.341293,t_shape,3
103.703906,1.340617,t_shape,3
103.703669,1.339443,x_shape,4
103.703829,1.338923,x_shape,4
103.700763,1.341776,t_shape,3
103.70551,1.341771,t_shape,3
103.70969,1.337203,t_shape,3
103.714799,1.349952,t_shape,3
103.71476,1.35001,t_shape,3
103.715653,1.350315,t_shape,3
103.715923,1.350435,x_shape,4
103.722802,1.348239,t_shape,3
103.722713,1.348248,t_shape,3
103.720068,1.345666,x_shape,4
103.719805,1.34251,t_shape,3
103.719618,1.344418,t_shape,3
103.718713,1.344085,t_shape,3
103.719866,1.344158,t_shape,3
103.720348,1.34433,t_shape,3
103.720443,1.344003,t_shape,3
103.728367,1.344276,t_shape,3
103.728367,1.344224,t_shape,3
103.72987,1.34326,t_shape,3
103.731637,1.33997,t_shape,3
103.729684,1.33887,t_shape,3
103.768886,1.32181,t_shape,3
103.781818,1.315308,t_shape,3
103.780659,1.315667,t_shape,3
103.781128,1.316209,t_shape,3
103.780592,1.31481,t_shape,3
103.785919,1.304311,t_shape,3
103.787707,1.30532,t_shape,3
103.792162,1.307394,t_shape,3
103.792385,1.30757,t_shape,3
103.812464,1.447666,t_shape,3
103.810569,1.450184,t_shape,3
103.823169,1.413446,x_shape,4
103.828591,1.39897,t_shape,3
103.826341,1.370357,t_shape,3
103.82746,1.370523,t_shape,3
103.811418,1.374188,t_shape,3
103.811241,1.374793,t_shape,3
103.8318,1.35523,t_shape,3
103.835633,1.35365,t_shape,3
103.833231,1.350336,t_shape,3
103.834622,1.350942,t_shape,3
103.834865,1.350393,x_shape,4
103.835224,1.351309,t_shape,3
103.833017,1.350856,t_shape,3
103.833448,1.34984,t_shape,3
103.831445,1.351937,t_shape,3
103.836496,1.345736,t_shape,3
103.81836,1.357058,t_shape,3
103.784187,1.318205,crossing,4
103.772928,1.311465,crossing,4
103.773352,1.31197,t_shape,3
103.775753,1.311199,t_shape,3
103.932561,1.33273,t_shape,3
103.933442,1.332726,t_shape,3
103.779148,1.306911,x_shape,4
103.779426,1.307273,t_shape,3
103.772883,1.297113,crossing,4
