longitude,latitude,junction_type,num_roads,connected_road_indices
103.826206,1.303609,X Shape,4,"[5106, 5199, 5203, 5253]"
103.837145,1.29573,T Shape,3,"[5112, 5114, 5114]"
103.836936,1.299754,Crossing,4,"[5140, 5142, 5167, 5300]"
103.837703,1.292123,T Shape,3,"[5143, 5254, 5269]"
103.832195,1.294415,T Shape,3,"[5149, 5151, 5473]"
103.831898,1.294974,T Shape,3,"[5151, 5291, 5343]"
103.832755,1.292461,Other,3,"[5152, 5154, 5462]"
103.823671,1.302933,T Shape,3,"[5161, 5202, 5263]"
103.837692,1.291951,T Shape,3,"[5185, 5261, 5262]"
103.825581,1.304532,T Shape,3,"[5200, 5356, 5360]"
103.825946,1.303491,Other,3,"[5200, 5202, 5253]"
103.83028,1.295493,X Shape,4,"[5207, 5213, 5234, 5477]"
103.830475,1.29576,T Shape,3,"[5207, 5216, 5401]"
103.830531,1.2956,T Shape,3,"[5214, 5401, 5478]"
103.837626,1.291978,T Shape,3,"[5219, 5258, 5261]"
103.84165,1.299638,X Shape,4,"[5221, 5411, 5413, 5425]"
103.841526,1.299674,X Shape,4,"[5225, 5314, 5412, 5413]"
103.83686,1.293406,T Shape,3,"[5231, 5257, 5259]"
103.838401,1.291529,T Shape,3,"[5232, 5235, 5238]"
103.830549,1.295553,T Shape,3,"[5233, 5477, 5478]"
103.838333,1.291585,T Shape,3,"[5238, 5242, 5262]"
103.838985,1.293923,T Shape,3,"[5254, 5256, 5306]"
103.83763,1.292166,T Shape,3,"[5255, 5269, 5270]"
103.836814,1.293145,Other,3,"[5257, 5258, 5260]"
103.842916,1.297517,T Shape,3,"[5274, 5276, 5415]"
103.841446,1.299093,X Shape,4,"[5276, 5423, 5425, 5426]"
103.841389,1.298954,T Shape,3,"[5277, 5424, 5426]"
103.840274,1.295987,T Shape,3,"[5280, 5284, 5395]"
103.841292,1.298992,T Shape,3,"[5280, 5299, 5424]"
103.829149,1.294984,Other,3,"[5308, 5469, 5476]"
103.841315,1.299142,T Shape,3,"[5314, 5422, 5423]"
